sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9634494348302068
6.9,3.1,5.1,2.3,virginica,0.968269763505354
5.1,2.5,3.0,1.1,versicolor,0.95280752166552
4.4,2.9,,0.2,setosa,0.6177264179270429
5.9,3.0,5.1,1.8,virginica,0.7889840176297698
5.5,3.5,1.3,0.2,setosa,0.9564299589345963
5.6,,3.6,1.3,versicolor,0.9434010984569949
6.5,3.0,5.2,2.0,virginica,0.952916026344427
5.3,3.7,1.5,0.2,setosa,0.9614994263933414
5.1,3.4,1.5,,setosa,0.8025469955917777
6.1,2.8,4.0,1.3,versicolor,0.9787385859973351
5.5,2.4,3.7,1.0,versicolor,0.9791446505939851
7.7,3.0,6.1,2.3,virginica,0.9632520890459076
6.9,3.1,4.9,1.5,versicolor,0.721819170121492
6.0,2.2,5.0,1.5,versicolor,0.5573333800426982
